Date,Value,Company
01 January 2021,5,Microsoft
01 April 2021,6,Microsoft
01 July 2021,5.5,Microsoft
01 October 2021,5.6,Microsoft
01 January 2022,5.1,Microsoft
01 April 2022,7,Microsoft
01 July 2022,6.5,Microsoft
01 October 2022,6.5,Microsoft
01 January 2023,6.7,Microsoft
01 April 2023,8.5,Microsoft
01 July 2023,9.9,Microsoft
01 October 2023,9.7,Microsoft
01 January 2024,11,Microsoft
01 April 2024,14,Microsoft
01 July 2024,15,Microsoft
01 January 2021,5.7,Alphabet
01 April 2021,5.4,Alphabet
01 July 2021,6.3,Alphabet
01 October 2021,6,Alphabet
01 January 2022,9.9,Alphabet
01 April 2022,7,Alphabet
01 July 2022,7.3,Alphabet
01 October 2022,7.6,Alphabet
01 January 2023,6,Alphabet
01 April 2023,6.4,Alphabet
01 July 2023,8,Alphabet
01 October 2023,11.2,Alphabet
01 January 2024,12,Alphabet
01 April 2024,13.4,Alphabet
01 July 2024,13.2,Alphabet
01 January 2021,12.3,Amazon
01 April 2021,14.5,Amazon
01 July 2021,15.7,Amazon
01 October 2021,19,Amazon
01 January 2022,15,Amazon
01 April 2022,15.5,Amazon
01 July 2022,16,Amazon
01 October 2022,16.2,Amazon
01 January 2023,14.5,Amazon
01 April 2023,12,Amazon
01 July 2023,12.5,Amazon
01 October 2023,14.8,Amazon
01 January 2024,15,Amazon
01 April 2024,17.5,Amazon
01 July 2024,22,Amazon
01 January 2021,4.7,Meta
01 April 2021,4.9,Meta
01 July 2021,4.7,Meta
01 October 2021,5.2,Meta
01 January 2022,5.2,Meta
01 April 2022,16,Meta
01 July 2022,9.5,Meta
01 October 2022,9,Meta
01 January 2023,7,Meta
01 April 2023,6,Meta
01 July 2023,6.5,Meta
01 October 2023,7.5,Meta
01 January 2024,6.5,Meta
01 April 2024,8,Meta
01 July 2024,9.2,Meta
