Date,Value,,
1977 ,25.5,,
1978 ,25.0,,
1979 ,25.4,,
1980 ,26.7,,
1981 ,27.4,,
1982 ,27.6,,
1983 ,28.3,,
1984 ,27.0,,
1985 ,29.6,,
1986 ,30.1,,
1987 ,31.5,,
1988 ,33.3,,
1989 ,32.7,,
1990 ,34.9,,
1991 ,33.9,,
1992 ,33.4,,
1993 ,33.7,,
1994/95,32.5,,
1995/96,32.3,,
1996/97,33.2,,
1997/98,33.4,,
1998/99,34.4,,
1999/00,35.1,,
2000/01,34.3,,
2001/02,35.9,,
2002/03,34.8,,
2003/04,34.0,,
2004/05,34.3,,
2005/06,35.9,,
2006/07,37.0,,
2007/08,38.6,,
2008/09,35.6,,
2009/10,36.6,,
2010/11,34.1,,
2011/12,33.8,,
2012/13,34.4,,
2013/14,35.3,,
2014/15,34.7,,
2015/16,35.1,,
2016/17,33.4,,
2017/18,35.0,,
2018/19,36.0,,
2019/20,35.4,,
2020/21,34.4,,
2021/22,35.5,,
2022/23,33.1,,
