Year,Revenue,Month
2019,812849.718,January
2019,1455311.947,February
2019,2400025.631,March
2019,3435002.196,April
2019,4512210.087,May
2019,5661371.098,June
2019,6908176.278,July
2019,7745938.774,August
2019,8432713.058,September
2019,9213423.793,October
2019,10172637.769,November
2019,11320802.321,December
2020,897742.569,January
2020,1535842.573,February
2020,1789195.274,March
2020,1789247.293,April
2020,1790243.131,May
2020,1793967.101,June
2020,1801447.910,July
2020,1834122.461,August
2020,1908583.126,September
2020,1972044.182,October
2020,2034922.717,November
2020,2102628.090,December
2021,65138.132,January
2021,123005.567,February
2021,236737.234,March
2021,432435.045,April
2021,646427.491,May
2021,1048097.026,June
2021,1636300.162,July
2021,2054518.713,August
2021,2421698.653,September
2021,3044986.110,October
2021,3568323.254,November
2021,4489854.728,December
2022,389784.418,January
2022,755712.635,February
2022,1345104.489,March
2022,1916131.402,April
2022,2702108.058,May
2022,3671060.035,June
2022,4804579.584,July
2022,5271543.142,August
2022,5595189.684,September
2022,6064327.959,October
2022,6692560.499,November
2022,7370521.810,December
2023,584765.684,January
2023,1085611.475,February
2023,1723797.757,March
2023,2624685.194,April
2023,3398671.605,May
2023,4402470.033,June
2023,5765233.954,July
2023,6578129.572,August
2023,7052732.912,September
2023,7609039.568,October
2023,8160955.029,November
2023,8909833.161,December
2024,495884.937,January
2024,860145.321,February
2024,1609423.740,March
2024,2039731.021,April
2024,2590122.192,May
2024,3556062.620,June
2024,4736695.362,July
2024,5628809.863,August
2024,6221253.996,September
2024,6683133.230,October
2024,7171575.522,November
