Date,Value,Company
2021-01-01,5,Microsoft
2021-04-01,6,Microsoft
2021-07-01,5.5,Microsoft
2021-10-01,5.6,Microsoft
2022-01-01,5.1,Microsoft
2022-04-01,7,Microsoft
2022-07-01,6.5,Microsoft
2022-10-01,6.5,Microsoft
2023-01-01,6.7,Microsoft
2023-04-01,8.5,Microsoft
2023-07-01,9.9,Microsoft
2023-10-01,9.7,Microsoft
2024-01-01,11,Microsoft
2024-04-01,14,Microsoft
2024-07-01,15,Microsoft
2021-01-01,5.7,Alphabet
2021-04-01,5.4,Alphabet
2021-07-01,6.3,Alphabet
2021-10-01,6,Alphabet
2022-01-01,9.9,Alphabet
2022-04-01,7,Alphabet
2022-07-01,7.3,Alphabet
2022-10-01,7.6,Alphabet
2023-01-01,6,Alphabet
2023-04-01,6.4,Alphabet
2023-07-01,8,Alphabet
2023-10-01,11.2,Alphabet
2024-01-01,12,Alphabet
2024-04-01,13.4,Alphabet
2024-07-01,13.2,Alphabet
2021-01-01,12.3,Amazon
2021-04-01,14.5,Amazon
2021-07-01,15.7,Amazon
2021-10-01,19,Amazon
2022-01-01,15,Amazon
2022-04-01,15.5,Amazon
2022-07-01,16,Amazon
2022-10-01,16.2,Amazon
2023-01-01,14.5,Amazon
2023-04-01,12,Amazon
2023-07-01,12.5,Amazon
2023-10-01,14.8,Amazon
2024-01-01,15,Amazon
2024-04-01,17.5,Amazon
2024-07-01,22,Amazon
2021-01-01,4.7,Meta
2021-04-01,4.9,Meta
2021-07-01,4.7,Meta
2021-10-01,5.2,Meta
2022-01-01,5.2,Meta
2022-04-01,9.9,Meta
2022-07-01,9.5,Meta
2022-10-01,9,Meta
2023-01-01,7,Meta
2023-04-01,6,Meta
2023-07-01,6.5,Meta
2023-10-01,7.5,Meta
2024-01-01,6.5,Meta
2024-04-01,8,Meta
2024-07-01,9.2,Meta
