st_nm,Value
Maharashtra,"36,459"
Tamil Nadu,"23,934"
Karnataka,"22,700"
Uttar Pradesh,"22,580"
Gujarat,"22,034"
West Bengal,"15,318"
Rajasthan,"13,579"
Telangana,"13,118"
Andhra Pradesh,"13,035"
Madhya Pradesh,"12,465"
Kerala,"10,236"
Delhi,"10,147"
Haryana,"9,841"
Odisha,"7,596"
Bihar,"7,464"
Punjab,"6,813"
Assam,"4,788"
Chhattisgarh,"4,644"
Jharkhand,"4,174"
Uttarakhand,"3,038"
Jammu and Kashmir,"2,202"
Himachal Pradesh,"1,917"
Goa,891
Tripura,723
Chandigarh,550
Meghalaya,466
Puducherry,447
Sikkim,427
Manipur,402
Nagaland,372
Arunachal Pradesh,351
Mizoram,307
Andaman and Nicobar Islands,117
